"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27609","Landing page new account ios @low-risk","","Fri Mar 07 15:46:38 AEDT 2025","passed","Fri Mar 07 15:47:05 AEDT 2025","","landing_page_new_account.spec.ts","",""
"","239186","Onboarding privacy policy ios @high-risk","","Fri Mar 07 15:42:12 AEDT 2025","passed","Fri Mar 07 15:46:11 AEDT 2025","","onboarding_pp.spec.ts","",""
